,Season,DayNum,WTeamID,WScore,LTeamID,LScore,WMargin,WSeasonElo,LSeasonElo,SeasonEloDiff,PredMargin,lineavg,date
502,2018,144,1181,69,1393,65,-4,2082.803818,1804.6241420000001,-278.17967599999974,-8,10.0,2018-03-23
504,2018,144,1403,78,1345,65,13,1973.857023,2063.3209690000003,-89.4639460000003,-2,3.5,2018-03-23
506,2018,144,1403,78,1345,65,-13,1973.857023,2063.3209690000003,89.4639460000003,2,3.5,2018-03-23
508,2018,145,1260,78,1243,62,16,1890.909689,1883.6757879999998,7.233901000000287,0,2.0,2018-03-24
510,2018,145,1260,78,1243,62,-16,1890.909689,1883.6757879999998,-7.233901000000287,0,2.0,2018-03-24
512,2018,145,1276,58,1199,54,4,2153.6458239999997,1844.356725,309.2890989999996,9,4.5,2018-03-24
514,2018,145,1276,58,1199,54,-4,2153.6458239999997,1844.356725,-309.2890989999996,-9,4.5,2018-03-24
516,2018,146,1437,71,1403,59,12,2188.106007,1973.857023,214.24898399999984,6,6.0,2018-03-25
518,2018,146,1437,71,1403,59,-12,2188.106007,1973.857023,-214.24898399999984,-6,6.0,2018-03-25
520,2018,146,1242,85,1181,81,4,2084.816709,2082.803818,2.012891000000309,0,-3.0,2018-03-25
522,2018,146,1242,85,1181,81,-4,2084.816709,2082.803818,-2.012891000000309,0,-3.0,2018-03-25
524,2018,152,1276,69,1260,57,12,2153.6458239999997,1890.909689,262.73613499999965,7,6.5,2018-03-31
526,2018,152,1276,69,1260,57,-12,2153.6458239999997,1890.909689,-262.73613499999965,-7,6.5,2018-03-31
528,2018,152,1437,95,1242,79,16,2188.106007,2084.816709,103.28929799999969,3,4.5,2018-03-31
530,2018,152,1437,95,1242,79,-16,2188.106007,2084.816709,-103.28929799999969,-3,4.5,2018-03-31
532,2018,154,1437,79,1276,62,17,2188.106007,2153.6458239999997,34.46018300000014,1,5.0,2018-04-02
534,2018,154,1437,79,1276,62,-17,2188.106007,2153.6458239999997,-34.46018300000014,-1,5.0,2018-04-02
